,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,ModelStars,ModelScore,StarsDifference
0,gp:AOqpTOHDbry2h8_S9Zr685pcJa1wcgh6kpucKRtsG-KnL_TUAItDSIuZtrpBwN2m6iuIklo9L-A9Cyh7GNOkxhY,Samuel Lopez,https://play-lh.googleusercontent.com/a/AATXAJyDjg6jy6mPl6asuRmRK9yzCQb_Ze7cyGHQRwE=mo,Buena,5,0,,2021-07-24 12:06:55,Hola Samuel ¡Gracias por tu calificación! Trabajamos todos los días para brindarte el mejor servicio.,2021-07-24 12:12:02,4,0.4406,1
1,gp:AOqpTOEt25WFIE0mQeqQm_w6Ql5HbjRW948SnldeV58vLwkRv5QczYafg-BdJwZMjrBlW3tBtCek5dXhRqbqUtg,Luis Guarnizo,https://play-lh.googleusercontent.com/a/AATXAJwxTs49ktBgskUksYAzZNA2Cbm9MZ3N7-QXUPQc=mo,Bn,5,0,11.3.0,2021-07-24 11:59:17,Hola Luis ¡Nos alegra que te guste! Estamos comprometidos con que tu experiencia sea excelente.,2021-07-24 12:02:41,1,0.2642,4
2,gp:AOqpTOFNXFc0QCGywDQ7fB-Vv_nwrlTmAEXhwNVxY1neDR1dHAGnKiy4wTsqGhOyGYcWipBApgVz4RVRjxfBKRw,Wiroblack,https://play-lh.googleusercontent.com/a-/AOh14GjC1KLIQJGFtTvnXxGpzKwwncB50CLgSUcoPau0gw,"La valoración de esta vez es por el servicio de telefonía, no por la aplicación (que aveces tiene sus errores). La señal en Colombia es re malísima por no decir que la mayor parte del tiempo no hay servicio. Próximamente, cambio de operador.",1,0,11.4.0,2021-07-24 11:54:08,"Hola, estamos dispuestos a ayudarte, en la app encontraras la opción de ""Chatea con nosotros"" donde puedes escribirnos y con mucho gusto verificamos lo sucedido.",2021-07-24 12:02:04,1,0.6134,0
3,gp:AOqpTOGcGsno1dxFWKlWs62XLdU-xZUByqUEUOjiNdxsdn0QFwX83infBIpo6YaobmZeyM5jTvk53rHwMRd17b4,Hernan Cardozo,https://play-lh.googleusercontent.com/a/AATXAJxnj9ZRQF5mURaYqbXzUt7QV8kD0n1t2EdeXGN2=mo,Buena,5,0,11.0.1,2021-07-24 11:42:27,Hola Hernan ¡Gracias por confiar en nosotros! Trabajamos todos los días para brindarte el mejor servicio.,2021-07-24 11:51:42,4,0.4406,1
4,gp:AOqpTOGbeKRoucqPCIwCCY4E0jZ2al1u6inw7NkObYZjQo99HPqDCqD-TWjnkvWuTJbso4h2EkixCHVWSaubr-w,Juan Barajas,https://play-lh.googleusercontent.com/a/AATXAJx-bJgxB0QjEkJHmjd-K49dca6KloVoMpPOawLZ=mo,muy buena,5,0,,2021-07-24 11:40:15,Hola Juan ¡Gracias por tu calificación! Trabajamos todos los días para brindarte el mejor servicio.,2021-07-24 11:51:20,5,0.7431,0
5,gp:AOqpTOHLLAiJ52yu3V-ss5qFq-1FGEsQ2pOvVN0lWZZN1oz-OPxlrXWADy0oL6UuGevdc9SRjSX2YBUeOhnbkoY,Jorge Luis Peñaloza Corredor,https://play-lh.googleusercontent.com/a/AATXAJwqV2Wdnuo7jC_k6qC-0pvqpwUdMqaOAIcEjwIB=mo,"Tanto la app cómo la compañía son una basura..., si hay una manera de comunicación que no sea el bot patético de la App, por favor háganlo saber",1,0,11.4.0,2021-07-24 11:07:14,"Buenos días Jorge, en la opción de ""Chatea con nosotros"", inicialmente te atenderá un asistente virtual pero si no encuentras la respuesta que buscas, puedes elegir pasar para hablar con uno de nuestros asesores. Saludos.

",2021-07-24 11:20:33,1,0.763,0
6,gp:AOqpTOEj4mGq0Gu1wEGUd1PhZZ7GCE1SMteNzs81Rgn29c29CJRJZ0g8QAjjCaGQmI7m_nKpC-3FfI7Ye60MQtM,JESUS CARO,https://play-lh.googleusercontent.com/a-/AOh14GiDF5vjil4QxksqXD8nj_OOO3cxipzQO9QgPhLxGiE,"Pésima. 1.Cada vez que entro me dice que solo se puede en 3 dispositivos, cambie la contraseña de la app y volví a entrar y me dice lo mismo. 2. Fui a cambiar el nombre de wifi y no me deja que lo debo seleccionar módem, es el único módem y no me deja seleccionar. 3. Se demora en cargar y en ocasiones me aparece no disponible, inclusive después de que entra. Sino mejoran la app tocará cambiar de proveedor de servicio",1,0,11.4.0,2021-07-24 10:52:43,"Hola Jesus, por favor escríbenos a nuestras redes sociales, nos encuentras en Facebook como Claro Colombia o en Twitter @ClaroTeAyuda y con mucho gusto te ayudamos con lo sucedido.",2021-07-24 11:01:07,1,0.9267,0
7,gp:AOqpTOEsSVGR09mPAkxBUoBAUeH1wudsiO4YsVZAu6e1nbT7VqEZwRku6M0MnB2yKCKqMTmWWkp6IxAhO6X3_7o,Leidys Rodelo Reyes,https://play-lh.googleusercontent.com/a/AATXAJxuQ-A5SyIwdxGg12wVTxb8Ok4tojvjj_eIO4br=mo,Sigo pensando que es lo peor no dan soluciones que de verdad ayuden a los clientes.,1,0,11.4.0,2021-07-24 10:52:26,"Buenos días Leidys, en la opción de ""Chatea con nosotros"", inicialmente te atenderá un asistente virtual pero si no encuentras la respuesta que buscas, puedes elegir pasar para hablar con uno de nuestros asesores. Saludos.",2021-07-24 11:00:22,1,0.5155,0
8,gp:AOqpTOGkEAjoBsFPj0OmZxSnBIJtoU_u0sfuIOfyVvydNNX5lDq-pU6fyeH2BnSJif0wdM6PFQetz4RJVkms8CQ,Kelly Lozano,https://play-lh.googleusercontent.com/a-/AOh14Gg3PT_DJKpGwRpWb_md9lTxZhFm76m31A3DQU11NQ,No resuelve mis dudas,1,0,11.4.0,2021-07-24 10:45:44,"Hola Kelly, en la app encontraras la opción de ""Chatea con nosotros"" donde puedes escribirnos y con mucho gusto te ayudamos.",2021-07-24 10:59:02,1,0.5113,0
9,gp:AOqpTOGW4jlbeww4ceSXVzpNVsY2CANEPmTXtykJsm-8yjqf83wHu1MIuG7mjcYiVfv_Tnm1Vl0ToS8Ve1x7U2E,sergio echeverri,https://play-lh.googleusercontent.com/a/AATXAJyA-RnT0W2t5wLfeIbZhDEmR8ny1g0OLIXhw4oENg=mo,Nunca me deja entrar,1,0,11.4.0,2021-07-24 10:21:44,"Hola Sergio, por favor escríbenos a nuestras redes sociales, nos encuentras en Facebook como Claro Colombia o en Twitter @ClaroTeAyuda y con mucho gusto validamos lo sucedido.",2021-07-24 10:55:22,1,0.7194,0
